Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
292,0,216.824,220.018,251.751,206.389,284.894,205.741,217.052,219.762,146.025
293,0,216.803,220.01,251.712,206.373,284.872,205.714,217.057,219.741,146.076
294,0,216.806,219.994,251.696,206.363,284.859,205.667,216.778,219.677,145.97
295,0,216.837,220.014,251.758,206.367,284.856,205.682,216.806,219.586,146.088
296,0,216.808,219.999,251.737,206.4,284.874,205.745,216.779,219.628,145.992
297,0,216.786,220.017,251.718,206.385,284.89,205.734,216.997,219.616,146.273
298,0,216.78,220.012,251.698,206.352,284.891,205.721,217.183,219.871,145.981
299,0,216.789,220.003,251.711,206.355,284.868,205.694,217.034,219.772,145.99
300,0,216.818,220.022,251.755,206.37,284.871,205.712,216.663,219.615,145.962
301,0,216.945,220.04,251.856,206.356,284.868,205.711,216.859,219.787,145.891
302,0,216.789,220,251.722,206.36,284.887,205.705,217.217,219.745,146.18
303,0,216.894,220.038,251.847,206.35,284.87,205.693,217.086,219.752,146.072
304,0,216.825,220.007,251.753,206.368,284.883,205.715,217.066,219.745,146.096
305,0,216.955,220.06,251.865,206.405,284.875,205.719,216.883,219.694,146.018
306,0,216.79,220.011,251.688,206.363,284.876,205.711,217.104,219.751,146.071
307,0,216.769,219.993,251.714,206.369,284.872,205.72,217.017,219.697,146.086
308,0,216.785,220.007,251.715,206.371,284.881,205.735,216.84,219.641,146.05
309,0,216.842,220.014,251.759,206.405,284.887,205.762,217.002,219.64,146.149
310,0,216.816,220.008,251.732,206.372,284.854,205.729,217.079,219.739,146.082
311,0,216.789,219.988,251.68,206.36,284.882,205.649,216.716,219.513,146.147
312,0,216.809,220.011,251.717,206.342,284.864,205.661,217.098,219.746,146.041
313,0,216.81,220.018,251.739,206.372,284.876,205.733,217.231,219.819,146.025
314,0,216.964,220.056,251.903,206.404,284.864,205.758,217.051,219.785,145.993
315,0,216.917,220.036,251.873,206.339,284.869,205.729,217.108,219.725,146.116
316,0,216.876,220.029,251.823,206.341,284.874,205.683,217.061,219.755,146.033
317,0,216.825,220,251.727,206.362,284.88,205.69,216.932,219.673,146.057
318,0,216.942,220.057,251.623,206.421,284.884,205.715,216.697,219.513,146.084
319,0,216.815,219.998,251.749,206.387,284.869,205.728,217.043,219.832,145.965
320,0,216.804,219.996,251.711,206.349,284.858,205.697,216.866,219.591,146.187
321,0,216.813,220.023,251.718,206.365,284.87,205.716,216.881,219.68,146.038
322,0,216.823,220.026,251.771,206.391,284.892,205.766,216.81,219.598,146.143
323,0,216.813,219.995,251.753,206.38,284.88,205.752,217.048,219.76,146.066
324,0,216.799,220.007,251.731,206.353,284.852,205.682,217.021,219.771,145.983
325,0,216.767,219.997,251.722,206.359,284.881,205.689,216.999,219.593,146.332
326,0,216.808,220.003,251.726,206.377,284.882,205.695,217.084,219.798,145.952
327,0,216.831,220.021,251.73,206.407,284.879,205.716,216.881,219.701,145.994
328,0,216.83,220.001,251.722,206.364,284.871,205.684,217.065,219.744,146.063
329,0,216.787,220.004,251.706,206.369,284.86,205.713,216.999,219.593,146.294
330,0,216.917,220.045,251.852,206.354,284.878,205.725,217.054,219.763,146.057
331,0,216.926,220.067,251.866,206.388,284.893,205.744,217.064,219.74,146.052
332,0,216.819,220.003,251.742,206.378,284.876,205.735,217.079,219.726,146.082
333,0,216.801,219.999,251.714,206.353,284.845,205.654,217.043,219.75,146.079
334,0,216.81,220.005,251.678,206.352,284.858,205.658,217.052,219.749,146.089
335,0,216.803,220.016,251.721,206.391,284.884,205.732,217.067,219.74,146.111
336,0,216.832,220.025,251.762,206.4,284.87,205.752,216.837,219.796,145.864
337,0,216.811,219.991,251.736,206.366,284.882,205.744,216.841,219.589,146.115
338,0,216.804,220.005,251.735,206.361,284.871,205.732,217.036,219.753,146.032
339,0,216.81,220.016,251.72,206.399,284.887,205.712,216.823,219.599,146.124
340,0,216.839,220.025,251.751,206.373,284.874,205.711,216.787,219.507,146.186
